Trạng thái hóa đơn,Loại hóa đơn,Số hóa đơn,Ngày hóa đơn,Mã số thuế người bán,Công ty,Địa chỉ,Link tra cứu hóa đơn,Id của hóa đơn,STT dòng hàng,Tên hàng hóa,Mã hàng hóa,Đơn vị tính,Số lượng,Đơn giá chưa thuế,Thuế suất GTGT
VALID,VALID,00000356,2026-02-25T07:00:00Z,0101491266,CÔNG TY TNHH HÀ NỘI IEC,"Số 65B Tôn Đức Thắng, Phường Văn Miếu - Quốc Tử Giám, Thành phố Hà Nội, Việt Nam",https://portal.ubot.vn/api/invoices/73167cea-4eec-4125-a9da-36483b2c634c/pdf/blob,73167cea-4eec-4125-a9da-36483b2c634c,5,"Vít khóa 3.5 mm, các cỡ_B001298.2 - Vô hạn",,Cái,15.0,395000.0,0
VALID,VALID,00000356,2026-02-25T07:00:00Z,0101491266,CÔNG TY TNHH HÀ NỘI IEC,"Số 65B Tôn Đức Thắng, Phường Văn Miếu - Quốc Tử Giám, Thành phố Hà Nội, Việt Nam",https://portal.ubot.vn/api/invoices/73167cea-4eec-4125-a9da-36483b2c634c/pdf/blob,73167cea-4eec-4125-a9da-36483b2c634c,2,"Vít khóa 4.5mm, các cỡ_B000265.2 - Vô hạn",,Cái,5.0,460000.0,0
VALID,VALID,00000356,2026-02-25T07:00:00Z,0101491266,CÔNG TY TNHH HÀ NỘI IEC,"Số 65B Tôn Đức Thắng, Phường Văn Miếu - Quốc Tử Giám, Thành phố Hà Nội, Việt Nam",https://portal.ubot.vn/api/invoices/73167cea-4eec-4125-a9da-36483b2c634c/pdf/blob,73167cea-4eec-4125-a9da-36483b2c634c,3,"Vít khóa 5.5mm, xương xốp, các cỡ_B000265.4 - Vô hạn",,Cái,5.0,470000.0,0
VALID,VALID,00000356,2026-02-25T07:00:00Z,0101491266,CÔNG TY TNHH HÀ NỘI IEC,"Số 65B Tôn Đức Thắng, Phường Văn Miếu - Quốc Tử Giám, Thành phố Hà Nội, Việt Nam",https://portal.ubot.vn/api/invoices/73167cea-4eec-4125-a9da-36483b2c634c/pdf/blob,73167cea-4eec-4125-a9da-36483b2c634c,7,"Vít xốp 6.5mm, ren bán phần_B001237.2 - Vô hạn- Vô hạn",,Cái,2.0,500000.0,0
VALID,VALID,00000356,2026-02-25T07:00:00Z,0101491266,CÔNG TY TNHH HÀ NỘI IEC,"Số 65B Tôn Đức Thắng, Phường Văn Miếu - Quốc Tử Giám, Thành phố Hà Nội, Việt Nam",https://portal.ubot.vn/api/invoices/73167cea-4eec-4125-a9da-36483b2c634c/pdf/blob,73167cea-4eec-4125-a9da-36483b2c634c,6,"Vít nén ép 3.5 mm, các cỡ_B001231.3 - Vô hạn",,Cái,4.0,340000.0,0
VALID,VALID,00000356,2026-02-25T07:00:00Z,0101491266,CÔNG TY TNHH HÀ NỘI IEC,"Số 65B Tôn Đức Thắng, Phường Văn Miếu - Quốc Tử Giám, Thành phố Hà Nội, Việt Nam",https://portal.ubot.vn/api/invoices/73167cea-4eec-4125-a9da-36483b2c634c/pdf/blob,73167cea-4eec-4125-a9da-36483b2c634c,1,"Nẹp khóa ốp mâm chày ngoài, trong, phải, trái, các cỡ_B000265.1 - Vô hạn",,Cái,2.0,8150000.0,0
VALID,VALID,00000356,2026-02-25T07:00:00Z,0101491266,CÔNG TY TNHH HÀ NỘI IEC,"Số 65B Tôn Đức Thắng, Phường Văn Miếu - Quốc Tử Giám, Thành phố Hà Nội, Việt Nam",https://portal.ubot.vn/api/invoices/73167cea-4eec-4125-a9da-36483b2c634c/pdf/blob,73167cea-4eec-4125-a9da-36483b2c634c,4,"Nẹp khóa bản nhỏ, thẳng, các cỡ_B001298.1 - Vô hạn",,Cái,3.0,4550000.0,0
VALID,VALID,00000188,2026-02-25T07:00:00Z,0106899059,CÔNG TY TNHH VẬT TƯ VÀ TRANG THIẾT BỊ Y TẾ HAT-MED VIỆT NAM,"Lô 07 ô DV 06 Khu ĐTM Tây Nam hồ Linh Đàm, Phường Hoàng Liệt, Thành Phố Hà Nội, Việt Nam",https://portal.ubot.vn/api/invoices/f338a3c5-d659-4d3c-aa98-c6f8974f3964/pdf/blob,f338a3c5-d659-4d3c-aa98-c6f8974f3964,2,[A03101] Thòng lọng cắt đốt polyp. Mã hiệu: M0056xxxx. Hãng sản xuất: Boston Scientific Corporation. Nước sản xuất: Costa Rica,A03101,Cái,113.0,2095238.0,5.0
VALID,VALID,00000188,2026-02-25T07:00:00Z,0106899059,CÔNG TY TNHH VẬT TƯ VÀ TRANG THIẾT BỊ Y TẾ HAT-MED VIỆT NAM,"Lô 07 ô DV 06 Khu ĐTM Tây Nam hồ Linh Đàm, Phường Hoàng Liệt, Thành Phố Hà Nội, Việt Nam",https://portal.ubot.vn/api/invoices/f338a3c5-d659-4d3c-aa98-c6f8974f3964/pdf/blob,f338a3c5-d659-4d3c-aa98-c6f8974f3964,1,[A00561] Bộ thắt tĩnh mạch thực quản dùng 1 lần. Mã hiệu: M0054225x. Hãng sản xuất: Boston Scientific Corporation. Nước sản xuất: Costa Rica,A00561,Bộ,1.0,3428571.0,5.0
VALID,VALID,492,2026-02-25T07:00:00Z,2300896373,CÔNG TY TNHH VŨ GIA DENTAL LAB,"Nhà C15 , Khu nhà ở Huyền Quang, Đường Võ Cường 40, Phường Võ Cường, Tỉnh Bắc Ninh, Việt Nam",https://portal.ubot.vn/api/invoices/739bd1c2-5c4e-40a3-83ef-237b30ccfd3c/pdf/blob,739bd1c2-5c4e-40a3-83ef-237b30ccfd3c,3,[D23041]Chụp sứ Cercon (NSX: Vũ Gia Dental Lab/ Việt Nam),D23041,Chiếc,1.0,1250000.0,0
